stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
74,ABA,Ascensor,43.26144,-2.92820,1,0
75,ABA,Berastegi,43.26203,-2.92804,1,0
76,ABA,"Gran Vía",43.26134,-2.92783,1,0
77,ABA,RENFE,43.26078,-2.92746,1,0
146,ABT,Azeta,43.31376,-3.01251,2,0
147,ABT,"Los Palangreros",43.31488,-3.01327,2,0
148,ABT,Ascensor,"  43.31465","  -3.01366",2,0
113,AIB,Txakursolo,43.34359,-3.00288,3,0
114,AIB,Alango,43.34359,-3.00288,3,0
116,ALG,Bolue,43.34988,-3.00910,4,0
117,ALG,Telletxe,43.35102,-3.00957,4,0
133,ANS,BEC,"  43.28975","  -2.98699",5,0
108,ARE,"Geltoki Plaza",43.32651,-3.01040,6,0
109,ARE,Ibaigane,43.32548,-3.00885,6,0
60,ARZ,Ascensor,43.23767,-2.88255,7,0
61,ARZ,Nagusia,43.23784,-2.88355,7,0
62,ARZ,Valencia,43.23798,-2.88125,7,0
100,AST,"Andén Plentzia",43.31448,-2.98677,8,0
101,AST,"Andén Etxebarri",43.31482,-2.98681,8,0
138,BAG,Ascensor,"  43.29849","  -2.99262",9,0
139,BAG,"Gabriel Aresti",43.29834,-2.99352,9,0
140,BAG,"Santa Teresa",43.29973,-2.99318,9,0
134,BAR,Ascensor,"  43.29531","  -2.98890",10,0
135,BAR,Elkano,43.29623,-2.98903,10,0
136,BAR,Foruak,43.29530,-2.98824,10,0
137,BAR,"Euskadi ",43.29465,-2.98900,10,0
66,BAS,Ascensor,43.25077,-2.91057,11,0
67,BAS,Basarrate,43.25062,-2.91147,11,0
162,BSR,Ascensor,"  43.23656","  -2.89457",12,0
163,BSR,Basozelai,43.23521,-2.89202,12,0
164,BSR,Bidasoa,"  43.23753","  -2.89476",12,0
122,BER,Berango,"  43.36676","  -2.99942",13,0
118,BID,Bidezabal,"  43.35694","  -3.01166",14,0
246,BID,Goñi,43.35694,-3.01166,14,0
247,BID,"Aita Domingo Iturrate",43.35694,-3.01166,14,0
34,BOL,Ascensor,43.24700,-2.90573,15,0
65,BOL,Bolueta,"  43.24709","  -2.90590",15,0
88,DEU,Ascensor,43.27182,-2.94947,16,0
89,DEU,Iruña,43.27049,-2.94939,16,0
90,DEU,"Lehendakari Agirre",43.27186,-2.94859,16,0
99,ERA,Erandio,"  43.30379","  -2.97447",17,0
63,ETX,Etxebarri,43.24387,-2.89668,18,0
110,GOB,Gobela,"  43.33360","  -3.00704",19,0
130,GUR,Ascensor,43.28320,-2.98296,20,0
131,GUR,"Gurutzeta / Cruces",43.28231,-2.98269,20,0
132,GUR,Llano,43.28358,-2.98132,20,0
121,IBB,Ibarbengoa,"  43.36317","  -3.00667",21,0
82,IND,Ascensor,43.26125,-2.94234,22,0
83,IND,"Dr. Areilza",43.26066,-2.94273,22,0
84,IND,Urquijo,43.26080,-2.94001,22,0
159,KAB,"Antonio Alzaga",43.32231,-3.03661,23,0
160,KAB,Ascensor,"  43.32224","  -3.03726",23,0
161,KAB,Lauaxeta,43.32253,-3.03896,23,0
104,LAM,"Gabriel Aresti","  43.32142","  -3.00159",24,0
105,LAM,Lamiako,"  43.32162","  -3.00145",24,0
123,LAR,Larrabasterra,43.37554,-2.99160,25,0
102,LEI,Leioa,43.31799,-2.99203,26,0
97,LUT,Lutxana,43.29113,-2.97005,27,0
78,MOY,Ascensor,43.26267,-2.93377,28,0
79,MOY,Diputazioa,43.26194,-2.93254,28,0
80,MOY,Elcano,43.26262,-2.93454,28,0
81,MOY,Ercilla,43.26316,-2.93432,28,0
111,NEG,Neguri,"  43.34035","  -3.00631",29,0
112,NEG,Neguri,"  43.34014","  -3.00563",29,0
152,PEN,Ascensor,"  43.32200","  -3.02593",30,0
153,PEN,"San Juan de Dios",43.32316,-3.02489,30,0
154,PEN,"Simón Bolívar",43.32201,-3.02453,30,0
129,PLE,Plentzia,"  43.40183","  -2.94640",31,0
149,POR,Ascensor,"  43.31795","  -3.02144",32,0
150,POR,"Carlos VII",43.31809,-3.02212,32,0
151,POR,"Maestro Zubeldia",43.31796,-3.01981,32,0
92,SIN,Ascensor,43.28137,-2.96265,33,0
93,SIN,Asturias,43.28147,-2.96300,33,0
94,SIN,"Benita Asas",43.27993,-2.96214,33,0
95,SIN,Lekeitio,43.28002,-2.96187,33,0
96,SIN,Levante,43.28144,-2.96246,33,0
85,SAM,Ascensor,43.26254,-2.94819,34,0
86,SAM,"Luis Briñas",43.26136,-2.94885,34,0
87,SAM,"Sabino Arana",43.26274,-2.94610,34,0
155,STZ,Ascensor,"  43.32923","  -3.03426",35,0
156,STZ,"Las Viñas",43.32857,-3.03476,35,0
157,STZ,"Casa Torre Jauregia",43.32968,-3.03398,35,0
158,STZ,Mamariga,"  43.33167","  -3.03812",35,0
68,SAN,Ascensor,43.25383,-2.91343,36,0
69,SAN,Karmelo,43.25407,-2.91472,36,0
70,SAN,Zabalbide,43.25547,-2.91312,36,0
91,SAR,Sarriko,"  43.27441","  -2.95807",37,0
142,SES,Ascensor,43.30934,-3.00663,38,0
143,SES,"Camino Txikito","  43.31029","  -3.00575",38,0
144,SES,Kasko,43.30952,-3.00728,38,0
145,SES,"La Salle",43.30867,-3.00426,38,0
125,SOP,"Acceso inferior","  43.38017","  -2.97879",39,0
126,SOP,Sopela,"  43.38024","  -2.97926",39,0
141,URB,Urbinaga,43.30593,-2.99238,40,0
127,URD,Urduliz,43.37865,-2.95905,41,0
71,CAV,"Ascensor Mallona",43.26024,-2.91987,42,0
72,CAV,"San Nikolas","  43.25997","  -2.92214",42,0
73,CAV,Unamuno,"  43.25863","  -2.92163",42,0
248,ZZA,Matiko,43.26892203749174,-2.9249887400808756,43,0
250,ZZB,Berriotxoa,43.26657888522708,-2.9181073021177335,44,0
251,ZZB,"Travesía Uribarri",43.2681164812967,-2.9203292906171443,44,0
254,ZZB,Ascensor,43.26775479350944,-2.9195657742139693,44,0
255,ZZB,Zumalakarregi,43.26555758343527,-2.9205957377651277,44,0
257,ZZB,Escuelas,43.26707422603849,-2.9212480204776328,44,0
258,ZZB,Ascensor,43.266824728285826,-2.920860547099436,44,0
271,ZZC,"Ascensor Mallona",43.26024,-2.91987,45,0
272,ZZC,"San Nikolas",43.25997,-2.92214,45,0
275,ZZC,Unamuno,43.25863,-2.92163,45,0
260,ZZD,"Vía Vieja de Lezama",43.264828315419386,-2.9134497686574696,46,0
262,ZZD,Zumaia,43.26486008135926,-2.915004677764423,46,0
263,ZZD,Ascensor,43.264126487520706,-2.913105662760311,46,0
265,ZZE,"Gabriel Aresti",43.2579403922566,-2.9067357582337303,47,0
267,ZZE,Peatonal,43.259534211913255,-2.907738630352142,47,0
270,ZZE,Ascensor,43.25861114704998,-2.9062380052214936,47,0
276,ZZF,Langaran,43.25818960120815,-2.8980826688736525,48,0
278,ZZF,Lozoño,43.25867730225704,-2.8998330934839878,48,0
280,ZZF,Ascensor,43.25860342490373,-2.899237191613228,48,0
281,ZZF,"Kepa Enbeita",43.25942346819154,-2.899991241250805,48,0
283,ZZG,Estación,43.25112761711957,-2.889805502632,49,0
285,ZZG,"Barrio Euskal Herria",43.250069149515134,-2.8871035819507425,49,0
286,ZZG,Ascensor,43.25188713002354,-2.8869249328682125,49,0
